route_id,pais,region,provincia,comarca,zona,pueblo,nombre_ruta,categoria,dificultad,descripcion_dificultad,distancia_total,altitud_minima,altitud_maxima,desnivel_acumulado,Tiempo_total,Punto_salida_llegada,poblacion_cercana,link_archivo,pdf_path,fecha
126,Andorra,Parroquia de Canillo,,,,,GRP - Etapa 4: Bordes d'Envalira - Refugio de Juclà,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","8,5 km",2.0,2.585,+850m / -550m,4:30h,,,https://www.rutaspirineos.org/rutas/grp-andorra-etapa-04-bordes-envalira-refugio-de-jucla,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-grp-andorra-etapa-04-bordes-envalira-refugio-de-jucla_es.pdf,11/11/2025
127,Andorra,Parroquia de Canillo,,,,,GRP - Etapa 5: Refugio de Juclà - Refugio Borda de Sorteny,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","16,5 km",1.97,2.72,+1.400m / -1.700m,7:20h,,,https://www.rutaspirineos.org/rutas/grp-andorra-etapa-05-refugio-de-jucla-refugio-borda-de-sorteny,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-grp-andorra-etapa-05-refugio-de-jucla-refugio-borda-de-sorteny_es.pdf,11/11/2025
128,Andorra,Parroquia de Ordino,,,,,GRP - Etapa 6: Refugio Borda de Sorteny - Refugio de Comapedrosa,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","20,5 km",1.41,2.586,+1.850m / -1.575m,9:55h,,,https://www.rutaspirineos.org/rutas/grp-andorra-etapa-06-refugio-borda-de-sorteny-refugio-de-comapedrosa,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-grp-andorra-etapa-06-refugio-borda-de-sorteny-refugio-de-comapedrosa_es.pdf,11/11/2025
129,Andorra,Parroquia de la Massana,,,,,GRP - Etapa 7: Refugio de Comapedrosa - Aixovall,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","21,5 km",930.0,2.588,+1.150m / -2.450m,9:15h,,,https://www.rutaspirineos.org/rutas/grp-andorra-etapa-07-refugio-de-comapedrosa-aixovall,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-grp-andorra-etapa-07-refugio-de-comapedrosa-aixovall_es.pdf,11/11/2025
130,España,Aragón,Huesca,La Ribagorza,Valle de Benasque,Benasque,Ibones de Villamuerta desde la Besurta,"Lagos, ríos y cascadas;Familias y niños",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","2,8 km",1.9,2.081,185m,1:45h,La Besurta,Benasque,https://www.rutaspirineos.org/rutas/ibones-de-villamuerta-besurta-benasque,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-ibones-de-villamuerta-besurta-benasque_es.pdf,11/11/2025
131,Andorra,Parroquia de Sant Julià de Lòria,Sant Julià de Lòria,,,,Iglesia de Sant Serni de Nagol en Sant Julià de Lòria,Familias y niños;Patrimonio histórico,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","1,4 km",1.034,1.142,105m,0:40h,Parque infantil Terra Bogada,San Julián de Loria,https://www.rutaspirineos.org/rutas/iglesia-de-sant-serni-de-nagol-en-san-julian-de-loria,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-iglesia-de-sant-serni-de-nagol-en-san-julian-de-loria_es.pdf,11/11/2025
132,España,Cataluña,Lérida,Pallars Jussá,Conca Dellá,Isona,"La ermita de la Posa, el Parque Cretácico y las fortificaciones del Frente del Pallars desde Isona",Familias y niños;Patrimonio histórico;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","9,8 km",655.0,870.0,+260 m / -260 m,3:15 h,Isona - Cal Cuaresma,Isona,https://www.rutaspirineos.org/rutas/isona-ermita-posa-parc-cretaci-bunkers,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-isona-ermita-posa-parc-cretaci-bunkers_es.pdf,11/11/2025
133,España,Cataluña,Gerona,Alto Ampurdán,La llanura ampurdanesa,Peralada,Itinerario circular de Peralada a Cabanes,Patrimonio histórico;Rutas circulares,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"14,7 km",19.0,74.0,91m,3:25h,Plaza de la Peixateria,Peralada,https://www.rutaspirineos.org/rutas/itinerari-circular-de-peralada-a-cabanes,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-itinerari-circular-de-peralada-a-cabanes_es.pdf,11/11/2025
134,España,Cataluña,Gerona,Alto Ampurdán,Cabo de Creus,Palau-saverdera,Itinerario circular de Palau-saverdera a Sant Onofre,Patrimonio histórico;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"5,9 km",116.0,467.0,360m,1:50h,La Font de Dalt,Palau-saverdera,https://www.rutaspirineos.org/rutas/itinerari-ermita-sant-onofre-mas-ventos-palau-saverdera,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-itinerari-ermita-sant-onofre-mas-ventos-palau-saverdera_es.pdf,11/11/2025
135,España,Cataluña,Gerona,Alto Ampurdán,Las Salinas y la Albera,Capmany,Itinerario megalítico de Capmany,Patrimonio histórico;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"11,8 km",110.0,192.0,110m,2:50h,Plaza Mayor,Capmany,https://www.rutaspirineos.org/rutas/itinerari-megalitic-de-capmany,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-itinerari-megalitic-de-capmany_es.pdf,11/11/2025
136,España,Cataluña,Gerona,Alto Ampurdán,Cabo de Creus,Palau-saverdera,Itinerario megalítico de la Fontasia en Palau-saverdera,Patrimonio histórico;Rutas circulares;Familias y niños,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","2,8 km",116.0,253.0,150m,1:05h,La Font de Dalt,Palau-saverdera,https://www.rutaspirineos.org/rutas/itinerari-megalitic-fontasia-dolmens-palau-saverdera,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-itinerari-megalitic-fontasia-dolmens-palau-saverdera_es.pdf,11/11/2025
137,España,Cataluña,Lérida,Pallars Sobirá,Las Valls d'Àneu,Espot,Itinerario adaptado al lago de Sant Maurici,Movilidad reducida,,,,,,,,,,https://www.rutaspirineos.org/rutas/itinerario-adaptado-al-estany-de-sant-maurici,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-itinerario-adaptado-al-estany-de-sant-maurici_es.pdf,11/11/2025
138,España,Cataluña,Lérida,Cerdaña (Lérida),Valle de la Cerdaña (Lérida),Bellver de Cerdaña,Itinerario adaptado hasta el mirador del Cap del Ras,Movilidad reducida,,,,,,,,,,https://www.rutaspirineos.org/rutas/itinerario-adaptado-al-mirador-del-cap-del-ras,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-itinerario-adaptado-al-mirador-del-cap-del-ras_es.pdf,12/11/2025
139,España,Cataluña,Barcelona,Berguedá,Alto Llobregat,Bagá,Itinerario adaptado hasta el mirador de Els Orris,Movilidad reducida,,,,,,,,,,https://www.rutaspirineos.org/rutas/itinerario-adaptado-al-mirador-dels-orris,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-itinerario-adaptado-al-mirador-dels-orris_es.pdf,12/11/2025
140,España,Cataluña,Lérida,Pallars Sobirá,Las Valls d'Àneu,Espot,Itinerario adaptado del puente de la Gorga,Movilidad reducida,,,,,,,,,,https://www.rutaspirineos.org/rutas/itinerario-adaptado-al-pont-de-la-gorga,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-itinerario-adaptado-al-pont-de-la-gorga_es.pdf,11/11/2025
141,España,Cataluña,Lérida,Cerdaña (Lérida),Valle de la Cerdaña (Lérida),Montellá y Martinet,Itinerario de la Nutria en Martinet,"Familias y niños;Lagos, ríos y cascadas;Flora y fauna",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","2,8 km",985.0,1.002,35m,1:00h,Aparcamiento al lado del Segre,Martinet,https://www.rutaspirineos.org/rutas/itinerario-de-la-nutria-martinet,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-itinerario-de-la-nutria-martinet_es.pdf,11/11/2025
142,España,Cataluña,Lérida,Pallars Sobirá,Vall Ferrera,Alins,Itinerario por el Bosque de Virós,Familias y niños;Patrimonio histórico;Rutas circulares;Raquetas de nieve;Flora y fauna,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","5,8 km",1.28,1.43,185m,2:00h,Aparcamiento bordas de Virós,Araós,https://www.rutaspirineos.org/rutas/itinerario-por-el-bosc-de-viros-buiro-santes-creus,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-itinerario-por-el-bosc-de-viros-buiro-santes-creus_es.pdf,11/11/2025
143,España,Cataluña,Barcelona,Berguedá,Alto Llobregat,Bagá,La Dou del Bastareny,"Familias y niños;Lagos, ríos y cascadas",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","0,4 km",945.0,961.0,25m,0:10h,Puente de piedra del Bastareny,Bagá,https://www.rutaspirineos.org/rutas/la-dou-del-bastareny,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-dou-del-bastareny_es.pdf,11/11/2025
144,España,Cataluña,Lérida,Val d'Aran,Baish Aran,Bausen,El hayedo de Carlac en Bausen,Paisajes pintorescos;Familias y niños;Rutas circulares;Flora y fauna,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"6,5 km",894.0,1.223,350m,2:30h,Bausen,Bausen,https://www.rutaspirineos.org/rutas/la-fageda-de-carlac-bausen,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-fageda-de-carlac-bausen_es.pdf,11/11/2025
145,España,Navarra,Navarra Montaña,Cuencas Prepirenaicas,Cuenca de Aoiz-Lumbier,Lumbier,La Foz de Lumbier (paseo corto),"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas;Flora y fauna",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,6 km",430.0,440.0,20m,1:00h,Aparcamiento Foz de Lumbier,Lumbier,https://www.rutaspirineos.org/rutas/la-foz-de-lumbier-paseo-corto,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-foz-de-lumbier-paseo-corto_es.pdf,11/11/2025
146,España,Cataluña,Lérida,Pallars Sobirá,Baix Pallars,Gerri de la Sal,"La Geganta Adormida, itinerario histórico por el Pla de Corts",Paisajes pintorescos;Familias y niños;Patrimonio histórico;Rutas circulares,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"14,6 km",806.0,1.066,486m,4:05h,Peramea,Peramea,https://www.rutaspirineos.org/rutas/la-geganta-adormida-peramea-pla-de-corts-montcortes,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-geganta-adormida-peramea-pla-de-corts-montcortes_es.pdf,11/11/2025
147,Andorra,Parroquia de la Massana,La Massana,,,,De la Massana al collado del Estall por el camino del Solà,Familias y niños;Rutas circulares;Flora y fauna,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"8,9 km",1.221,1.921,815m,3:15h,Oficina de Turismo,La Massana,https://www.rutaspirineos.org/rutas/la-massana-aldosa-cami-del-sola-cortals-anyos-collada-estall,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-massana-aldosa-cami-del-sola-cortals-anyos-collada-estall_es.pdf,11/11/2025
148,España,Cataluña,Lérida,Val d'Aran,Vielha-Mijaran,Es Bòrdes,La mina Victoria y el lago de Arres,Patrimonio histórico;Familias y niños;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","5,5 km",1.309,1.556,382m,2:05h,Arres de Sus,Arres,https://www.rutaspirineos.org/rutas/la-mina-victoria-arres-de-sus,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-mina-victoria-arres-de-sus_es.pdf,11/11/2025
149,España,Cataluña,Gerona,Garrotxa,Alta Garrotxa,La Vall de Bianya,La atalaya sobre la Via Annia en la Garrotxa,Familias y niños;Patrimonio histórico;Rutas circulares;Ascensiones media montaña,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,8 km,365.0,793.0,450m,2:30h,Hostalnou de Bianya,La Vall de Bianya,https://www.rutaspirineos.org/rutas/la-talaia-sobre-la-via-annia,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-talaia-sobre-la-via-annia_es.pdf,11/11/2025
150,España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Rialp,"El valle de Àssua, tierra de pastores",Paisajes pintorescos;Patrimonio histórico;Rutas circulares,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"17,4 km",721.0,1.412,1.074m,5:50h,Plaza de Les Escoles,Rialp,https://www.rutaspirineos.org/rutas/la-vall-d-assua-des-de-rialp,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-vall-d-assua-des-de-rialp_es.pdf,11/11/2025
151,España,Cataluña,Lérida,Solsonés,Vall de Lord y sierra de Busa,Navès,De la Vall d'Ora al Pla de Busa y Sant Pere de Graudescales,Paisajes pintorescos;Patrimonio histórico;Rutas circulares,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"13,4 km",745.0,1.35,750m,3:45h,Monumento a Guifré el Pilós,Navès,https://www.rutaspirineos.org/rutas/la-vall-d-ora-pla-de-busa-sant-pere-de-graudescales,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-vall-d-ora-pla-de-busa-sant-pere-de-graudescales_es.pdf,11/11/2025
152,España,Cataluña,Lérida,Cerdaña (Lérida),Valle de la Cerdaña (Lérida),Lles de Cerdaña,La Vall de la Llosa,"Paisajes pintorescos;Lagos, ríos y cascadas",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"13,3 km",1.6,2.068,536m,3:45h,Cal Jan de la Llosa,Viliella,https://www.rutaspirineos.org/rutas/la-vall-de-la-llosa-cerdanya,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-vall-de-la-llosa-cerdanya_es.pdf,11/11/2025
153,España,Cataluña,Barcelona,Berguedá,Alto Llobregat,La Pobla de Lillet,La vuelta al Catllarás,Patrimonio histórico;Rutas circulares,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"17,1 km",839.0,1.695,1.014m,4:45h,La Pobla de Lillet,La Pobla de Lillet,https://www.rutaspirineos.org/rutas/la-volta-al-catllaras-bergueda,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-volta-al-catllaras-bergueda_es.pdf,11/11/2025
154,Francia,Mediodía-Pirineos,Altos Pirineos,Valle de Cauterets,Cauterets,,Lago de Gaube desde Pont d'Espagne,"Familias y niños;Lagos, ríos y cascadas",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","5,2 km",1.49,1.731,255m,1:30h,Pont d'Espagne,Cauterets,https://www.rutaspirineos.org/rutas/lago-de-gaube,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-lago-de-gaube_es.pdf,11/11/2025
155,Francia,Mediodía-Pirineos,Altos Pirineos,Valle de Cauterets,Cauterets,,Lago de Gaube y circo de Oulettes de Gaube,"Paisajes pintorescos;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"17,2 km",1.49,2.149,750m,5:20h,Pont d'Espagne,Cauterets,https://www.rutaspirineos.org/rutas/lago-de-gaube-y-circo-de-oulettes,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-lago-de-gaube-y-circo-de-oulettes_es.pdf,11/11/2025
156,España,Cataluña,Barcelona,Berguedá,Alto Llobregat,Castellar de n´Hug,Las fuentes del Llobregat,"Lagos, ríos y cascadas;Familias y niños",Baja,"Paseos cortos, con poco desnivel y sin dificultades.",2 km,1.27,1.372,102m,0:45h,Castellar de n'Hug,Castellar de n'Hug,https://www.rutaspirineos.org/rutas/las-fuentes-del-llobregat-en-castellar-de-nhug,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-las-fuentes-del-llobregat-en-castellar-de-nhug_es.pdf,11/11/2025
157,España,Cataluña,Lérida,Pallars Jussá,Conca de Tremp y Terreta,La Torre de Tamúrcia,Sierra de Sant Gervàs: el Portús y la Avedoga d'Adons,Ascensiones media montaña;Paisajes pintorescos;Patrimonio histórico,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"13,5 km",950.0,1.839,1.000m,5:30h,Pista a Espluga de Serra,La Torre de Tamúrcia,https://www.rutaspirineos.org/rutas/lo-portus-avedoga-adons-desde-la-torre-de-tamurcia,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-lo-portus-avedoga-adons-desde-la-torre-de-tamurcia_es.pdf,11/11/2025
158,España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,Virgen de Arboló y Gerri de la Sal desde Sort,"Patrimonio histórico;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,3 km",585.0,817.0,+461m / -544m,5:00h,Hotel Les Brases - Sort,Sort,https://www.rutaspirineos.org/rutas/mare-de-deu-arbolo-gerri-de-la-sal-sort,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-mare-de-deu-arbolo-gerri-de-la-sal-sort_es.pdf,12/11/2025
159,Francia,Languedoc-Rosellón,Pirineos Orientales,Alta Cerdaña,Angoustrine,,Mare de Déu de Bell-lloc desde Dorres,Familias y niños;Patrimonio histórico;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","4,9 km",1.44,1.68,250m,1:35h,Plaza principal de Dorres,Dorres,https://www.rutaspirineos.org/rutas/mare-de-deu-de-bell-lloc-desde-dorres,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-mare-de-deu-de-bell-lloc-desde-dorres_es.pdf,11/11/2025
160,España,Cataluña,Gerona,Bajo Ampurdán,Ardenya-Cadiretes (Bajo Ampurdán),Sant Feliu de Guíxols,Macizo de la Ardenya desde Sant Feliu de Guíxols,"Paisajes pintorescos;Rutas circulares;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"17,5 km",3.0,373.0,480m,4:50h,Oficina de Turismo,Sant Feliu de Guíxols,https://www.rutaspirineos.org/rutas/massis-de-ardenya-des-de-sant-feliu-de-guixols,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-massis-de-ardenya-des-de-sant-feliu-de-guixols_es.pdf,11/11/2025
161,España,Cataluña,Gerona,El Ripollés,Bajo Ripollés y Montgrony,Les Llosses,Matamala y Les Llosses por antiguos caminos de herradura,Rutas circulares;Familias y niños;Patrimonio histórico,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"8,8 km",900.0,1.104,225m,2:30h,Santa Maria de Matamala,Les Llosses,https://www.rutaspirineos.org/rutas/matamala-i-les-llosses-per-antics-camins-de-ferradura,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-matamala-i-les-llosses-per-antics-camins-de-ferradura_es.pdf,11/11/2025
162,Francia,Aquitania,Pirineos Atlánticos,Valle de Ossau,Laruns-Artouste,,Midi d'Ossau (2.884m) por la vía normal,Ascensiones alta montaña;Paisajes pintorescos,Alta (PD+),Rutas de alta montaña con trepadas (nociones de escalada) generalmente con generosos agarres. La cuerda puede ser necesaria.,15 km,1.715,2.884,+537m/-97m | +831m/-1.271m,2:20h | 6:20h,Aparcamiento de Anéou,Artouste-Fabrèges,https://www.rutaspirineos.org/rutas/midi-d-ossau-por-refugio-pombie,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-midi-d-ossau-por-refugio-pombie_es.pdf,11/11/2025
163,España,Cataluña,Gerona,Garrotxa,La comarca de Olot,Vall de Bas,El mirador de la Vall d'en Bas,"Patrimonio histórico;Lagos, ríos y cascadas;Rutas circulares",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"10,9 km",604.0,1.28,725m,3:15h,Área Pla d'en Xurri,Sant Privat d'en Bas,https://www.rutaspirineos.org/rutas/mirador-de-la-vall-en-bas-santa-magdalena-del-mont-les-olletes,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-mirador-de-la-vall-en-bas-santa-magdalena-del-mont-les-olletes_es.pdf,11/11/2025
164,España,Cataluña,Lérida,Pallars Sobirá,Valle de Cardós,Esterri de Cardós,Mirador del Cap de la Roca en Esterri de Cardós,Familias y niños;Paisajes pintorescos,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,6 km",1.195,1.23,40m,1:00h,Esterri de Cardós,Esterri de Cardós,https://www.rutaspirineos.org/rutas/mirador-del-cap-de-la-roca-en-esterri-de-cardos,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-mirador-del-cap-de-la-roca-en-esterri-de-cardos_es.pdf,11/11/2025
165,España,Aragón,Huesca,Alto Gállego,Valle de Tena,Sallent de Gállego,Mirador de San Mamés en Sallent de Gállego,"Familias y niños;Lagos, ríos y cascadas",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","0,7 km",1.281,1.312,37m,0:20h,Puente de la Plaza,Sallent de Gállego,https://www.rutaspirineos.org/rutas/mirador-san-mames-en-sallent-de-gallego,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-mirador-san-mames-en-sallent-de-gallego_es.pdf,11/11/2025
166,España,Aragón,Huesca,Sobrarbe,Valle de Escuaín,Tella-Sin,Sendero de los miradores de Revilla en las Gargantas de Escuaín,Familias y niños;Flora y fauna;Rutas circulares;Patrimonio histórico,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","4,5 km",1.195,1.362,200m,1:35h,Curva carretera antes de Revilla,Revilla,https://www.rutaspirineos.org/rutas/miradores-de-revilla-angones-gargantas-de-escuain,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-miradores-de-revilla-angones-gargantas-de-escuain_es.pdf,11/11/2025
167,España,Cataluña,Lérida,Pallars Jussá,Pobla de Segur y Conca de Dalt,La Pobla de Segur,Monasterio de Sant Pere de les Maleses,Familias y niños;Patrimonio histórico;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,9 km,530.0,710.0,400m,2:35h,Font de la Figuereta,La Pobla de Segur,https://www.rutaspirineos.org/rutas/monasterio-de-sant-pere-de-les-maleses-collegats,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-monasterio-de-sant-pere-de-les-maleses-collegats_es.pdf,11/11/2025
168,España,Cataluña,Lérida,Pallars Sobirá,Las Valls d'Àneu,Alós de Isil,Mont Valier (2.838m) y pico de la Pala Clavera (2.721m),Rutas circulares;Ascensiones alta montaña,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","22,5 km",1.475,2.838,+1.600m/-830m | +880m/-1.650m,5:20h | 5:45h,Puente de Perosa,Alós d'Isil,https://www.rutaspirineos.org/rutas/mont-valier-petit-mont-valier-y-pico-de-la-pala-clavera,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-mont-valier-petit-mont-valier-y-pico-de-la-pala-clavera_es.pdf,11/11/2025
